,screen_name,accounts,chamber,id,name,party,state,type,ch
0,DemCloakroom,"{u'index': 0, u'campaign': [{u'screen_name': u'dccc', u'id': 14676022, u'name': u'DCCC', u'id_str': u'14676022'}], u'office': [{u'screen_name': u'DemCloakroom', u'id': 2557507771, u'name': u'Democratic Cloakroom', u'id_str': u'2557507771'}, {u'screen_name': u'HouseDemocrats', u'id': 43963249, u'name': u'House Democrats', u'id_str': u'43963249'}]}",house,,Democrats,D,,party,yes
1,HouseDemocrats,"{u'index': 0, u'campaign': [{u'screen_name': u'dccc', u'id': 14676022, u'name': u'DCCC', u'id_str': u'14676022'}], u'office': [{u'screen_name': u'DemCloakroom', u'id': 2557507771, u'name': u'Democratic Cloakroom', u'id_str': u'2557507771'}, {u'screen_name': u'HouseDemocrats', u'id': 43963249, u'name': u'House Democrats', u'id_str': u'43963249'}]}",house,,Democrats,D,,party,no
2,dccc,"{u'index': 0, u'campaign': [{u'screen_name': u'dccc', u'id': 14676022, u'name': u'DCCC', u'id_str': u'14676022'}], u'office': [{u'screen_name': u'DemCloakroom', u'id': 2557507771, u'name': u'Democratic Cloakroom', u'id_str': u'2557507771'}, {u'screen_name': u'HouseDemocrats', u'id': 43963249, u'name': u'House Democrats', u'id_str': u'43963249'}]}",house,,Democrats,D,,party,yes
3,GOPEspanol,"{u'index': 1, u'campaign': [{u'screen_name': u'NRCC', u'id': 5496932, u'name': u'NRCC', u'id_str': u'5496932'}], u'office': [{u'screen_name': u'GOPEspanol', u'id': 1138688364, u'name': u'GOP en Espa̱ol', u'id_str': u'1138688364'}, {u'screen_name': u'GOPpolicy', u'id': 10840862, u'name': u'House Republican Policy Committee', u'id_str': u'10840862'}, {u'screen_name': u'HouseGOP', u'id': 15207668, u'name': u'House Republicans', u'id_str': u'15207668'}, {u'screen_name': u'RepCloakroom', u'id': 1137600571, u'name': u'Republican Cloakroom', u'id_str': u'1137600571'}]}",house,,Republicans,R,,party,no
4,GOPpolicy,"{u'index': 1, u'campaign': [{u'screen_name': u'NRCC', u'id': 5496932, u'name': u'NRCC', u'id_str': u'5496932'}], u'office': [{u'screen_name': u'GOPEspanol', u'id': 1138688364, u'name': u'GOP en Espa̱ol', u'id_str': u'1138688364'}, {u'screen_name': u'GOPpolicy', u'id': 10840862, u'name': u'House Republican Policy Committee', u'id_str': u'10840862'}, {u'screen_name': u'HouseGOP', u'id': 15207668, u'name': u'House Republicans', u'id_str': u'15207668'}, {u'screen_name': u'RepCloakroom', u'id': 1137600571, u'name': u'Republican Cloakroom', u'id_str': u'1137600571'}]}",house,,Republicans,R,,party,no
5,HouseGOP,"{u'index': 1, u'campaign': [{u'screen_name': u'NRCC', u'id': 5496932, u'name': u'NRCC', u'id_str': u'5496932'}], u'office': [{u'screen_name': u'GOPEspanol', u'id': 1138688364, u'name': u'GOP en Espa̱ol', u'id_str': u'1138688364'}, {u'screen_name': u'GOPpolicy', u'id': 10840862, u'name': u'House Republican Policy Committee', u'id_str': u'10840862'}, {u'screen_name': u'HouseGOP', u'id': 15207668, u'name': u'House Republicans', u'id_str': u'15207668'}, {u'screen_name': u'RepCloakroom', u'id': 1137600571, u'name': u'Republican Cloakroom', u'id_str': u'1137600571'}]}",house,,Republicans,R,,party,no
6,RepCloakroom,"{u'index': 1, u'campaign': [{u'screen_name': u'NRCC', u'id': 5496932, u'name': u'NRCC', u'id_str': u'5496932'}], u'office': [{u'screen_name': u'GOPEspanol', u'id': 1138688364, u'name': u'GOP en Espa̱ol', u'id_str': u'1138688364'}, {u'screen_name': u'GOPpolicy', u'id': 10840862, u'name': u'House Republican Policy Committee', u'id_str': u'10840862'}, {u'screen_name': u'HouseGOP', u'id': 15207668, u'name': u'House Republicans', u'id_str': u'15207668'}, {u'screen_name': u'RepCloakroom', u'id': 1137600571, u'name': u'Republican Cloakroom', u'id_str': u'1137600571'}]}",house,,Republicans,R,,party,no
7,NRCC,"{u'index': 1, u'campaign': [{u'screen_name': u'NRCC', u'id': 5496932, u'name': u'NRCC', u'id_str': u'5496932'}], u'office': [{u'screen_name': u'GOPEspanol', u'id': 1138688364, u'name': u'GOP en Espa̱ol', u'id_str': u'1138688364'}, {u'screen_name': u'GOPpolicy', u'id': 10840862, u'name': u'House Republican Policy Committee', u'id_str': u'10840862'}, {u'screen_name': u'HouseGOP', u'id': 15207668, u'name': u'House Republicans', u'id_str': u'15207668'}, {u'screen_name': u'RepCloakroom', u'id': 1137600571, u'name': u'Republican Cloakroom', u'id_str': u'1137600571'}]}",house,,Republicans,R,,party,yes
8,DSenFloor,"{u'index': 2, u'campaign': [{u'screen_name': u'dscc', u'id': 14466538, u'name': u'DSCC', u'id_str': u'14466538'}], u'office': [{u'screen_name': u'DSenFloor', u'id': 729177876, u'name': u'Democratic Floor Monitor', u'id_str': u'729177876'}, {u'screen_name': u'SenateDems', u'id': 73238146, u'name': u'Senate Democrats', u'id_str': u'73238146'}]}",senate,,Democrats,D,,party,no
9,SenateDems,"{u'index': 2, u'campaign': [{u'screen_name': u'dscc', u'id': 14466538, u'name': u'DSCC', u'id_str': u'14466538'}], u'office': [{u'screen_name': u'DSenFloor', u'id': 729177876, u'name': u'Democratic Floor Monitor', u'id_str': u'729177876'}, {u'screen_name': u'SenateDems', u'id': 73238146, u'name': u'Senate Democrats', u'id_str': u'73238146'}]}",senate,,Democrats,D,,party,no
10,dscc,"{u'index': 2, u'campaign': [{u'screen_name': u'dscc', u'id': 14466538, u'name': u'DSCC', u'id_str': u'14466538'}], u'office': [{u'screen_name': u'DSenFloor', u'id': 729177876, u'name': u'Democratic Floor Monitor', u'id_str': u'729177876'}, {u'screen_name': u'SenateDems', u'id': 73238146, u'name': u'Senate Democrats', u'id_str': u'73238146'}]}",senate,,Democrats,D,,party,yes
11,SenateGOP,"{u'index': 3, u'campaign': [{u'screen_name': u'NRSC', u'id': 5693842, u'name': u'NRSC', u'id_str': u'5693842'}], u'office': [{u'screen_name': u'SenateGOP', u'id': 14344823, u'name': u'Senate Republicans', u'id_str': u'14344823'}, {u'screen_name': u'SenateRPC', u'id': 114896223, u'name': u'Senate Republican Policy Committee', u'id_str': u'114896223'}, {u'screen_name': u'senategopfloor', u'id': 476209692, u'name': u'GOP Floor Monitor', u'id_str': u'476209692'}]}",senate,,Republicans,R,,party,no
