accounts,chamber,id,name,party,state,type
"{'office': [{'id': 116505994, 'id_str': '116505994', 'screen_name': 'JECDems', 'party': 'D'}, {'id': 109280446, 'id_str': '109280446', 'screen_name': 'JECRepublicans', 'party': 'R'}]}",joint,"{'thomas_id': 'JSEC', 'senate_committee_id': 'JSEC', 'tag': 'jec'}",Joint Economic Committee,,,committee
"{'office': [{'id': 3006258669, 'id_str': '3006258669', 'screen_name': 'SenateAgGOP', 'party': 'R'}]}",senate,"{'thomas_id': 'SSAS21F', 'senate_committee_id': 'SSAF', 'tag': 'agriculture'}","Senate Committee on Agriculture, Nutrition, and Forestry",,,committee
"{'office': [{'id': 352534407, 'id_str': '352534407', 'screen_name': 'SenateApprops', 'party': 'D'}]}",senate,"{'thomas_id': 'SSAP', 'senate_committee_id': 'SSAP', 'tag': 'appropriations'}",Senate Committee on Appropriations,,,committee
"{'office': [{'id': 275572403, 'id_str': '275572403', 'screen_name': 'SASCMajority', 'party': 'R'}]}",senate,"{'thomas_id': 'SSAS', 'senate_committee_id': 'SSAS', 'tag': 'armed-services'}",Senate Committee on Armed Services,,,committee
"{'office': [{'id': 1242040290, 'id_str': '1242040290', 'screen_name': 'BankingGOP', 'party': 'R'}]}",senate,"{'thomas_id': 'SSBK', 'senate_committee_id': 'SSBK', 'tag': 'banking'}","Senate Committee on Banking, Housing, and Urban Affairs",,,committee
"{'office': [{'id': 386092483, 'id_str': '386092483', 'screen_name': 'SenateCommerce', 'party': 'R'}]}",senate,"{'thomas_id': 'SSCM', 'senate_committee_id': 'SSCM', 'tag': 'commerce'}","Senate Committee on Commerce, Science, and Transportation",,,committee
"{'office': [{'id': 277124730, 'id_str': '277124730', 'screen_name': 'EnergyDems', 'party': 'D'}, {'id': 82657929, 'id_str': '82657929', 'screen_name': 'EnergyGOP', 'party': 'R'}]}",senate,"{'thomas_id': 'SSEG', 'senate_committee_id': 'SSEG', 'tag': 'energy'}",Senate Committee on Energy and Natural Resources,,,committee
"{'office': [{'id': 245891006, 'id_str': '245891006', 'screen_name': 'EPWDems', 'party': 'D'}, {'id': 1055515873, 'id_str': '1055515873', 'screen_name': 'EPWGOP', 'party': 'R'}]}",senate,"{'thomas_id': 'SSEV', 'senate_committee_id': 'SSEV', 'tag': 'epw'}",Senate Committee on Environment and Public Works,,,committee
"{'office': [{'id': 701821488, 'id_str': '701821488', 'screen_name': 'GOPSenFinance', 'party': 'R'}]}",senate,"{'thomas_id': 'SSFI', 'senate_committee_id': 'SSFI', 'tag': 'finance'}",Senate Committee on Finance,,,committee
"{'office': [{'id': 292972175, 'id_str': '292972175', 'screen_name': 'GOPHELP', 'party': 'R'}]}",senate,"{'thomas_id': 'SSHR', 'senate_committee_id': 'SSHR', 'tag': 'help'}","Senate Committee on Health, Education, Labor, and Pensions",,,committee
"{'office': [{'id': 329761746, 'id_str': '329761746', 'screen_name': 'IndianCommittee', 'party': 'R'}]}",senate,"{'thomas_id': 'SLIA', 'senate_committee_id': 'SLIA', 'tag': 'indian'}",Senate Committee on Indian Affairs,,,committee
"{'office': [{'id': 2932401927, 'id_str': '2932401927', 'screen_name': 'SmallBizCmte', 'party': 'R'}]}",senate,"{'thomas_id': 'SSSB', 'senate_committee_id': 'SSSB', 'tag': 'sbc'}",Senate Committee on Small Business and Entrepreneurship,,,committee
"{'office': [{'id': 1009054656, 'id_str': '1009054656', 'screen_name': 'VAChair', 'party': 'R'}]}",senate,"{'thomas_id': 'SSVA', 'senate_committee_id': 'SSVA', 'tag': 'veterans'}",Senate Committee on Veterans' Affairs,,,committee
"{'office': [{'id': 2992440550, 'id_str': '2992440550', 'screen_name': 'BudgetGOP', 'party': 'R'}]}",senate,"{'thomas_id': 'SSBU', 'senate_committee_id': 'SSBU', 'tag': 'budget'}",Senate Committee on the Budget,,,committee
"{'office': [{'id': 704320143824953300, 'id_str': '704320143824953344', 'screen_name': 'senjudiciary', 'party': 'R'}]}",senate,"{'thomas_id': 'SSJU', 'senate_committee_id': 'SSJU', 'tag': 'judiciary'}",Senate Committee on the Judiciary,,,committee
"{'office': [{'id': 2359937696, 'id_str': '2359937696', 'screen_name': 'SenateAging', 'party': 'R'}]}",senate,"{'thomas_id': 'SPAG', 'senate_committee_id': 'SPAG', 'tag': 'aging'}",Senate Special Committee on Aging,,,committee
