,ch,chamber,name,party,screen_name,state,type
103,yes,house,Karen Bass,D,KarenBassTweets,CA,member
104,no,house,Ken Calvert,R,KenCalvert,CA,member
105,yes,house,Ken Calvert,R,TeamCalvert,CA,member
106,no,house,Kevin McCarthy,R,GOPLeader,CA,member
107,yes,house,Kevin McCarthy,R,kevinomccarthy,CA,member
108,no,house,Linda Sánchez,D,RepLindaSanchez,CA,member
109,no,house,Lou Correa,D,RepLouCorrea,CA,member
110,no,house,Lucille Roybal-Allard,D,RepRoybalAllard,CA,member
111,yes,house,Lucille Roybal-Allard,D,LRAforCongress,CA,member
112,no,house,Mark DeSaulnier,D,RepDeSaulnier,CA,member
113,yes,house,Mark DeSaulnier,D,MarkDeSaulnier,CA,member
114,no,house,Mark Takano,D,RepMarkTakano,CA,member
115,yes,house,Mark Takano,D,MarkTakano,CA,member
116,no,house,Maxine Waters,D,MaxineWaters,CA,member
117,yes,house,Maxine Waters,D,MaxineWatersLA,CA,member
118,no,house,Mike Thompson,D,RepThompson,CA,member
119,no,house,Mimi Walters,R,RepMimiWalters,CA,member
120,yes,house,Mimi Walters,R,MimiWaltersCA,CA,member
121,no,house,Nancy Pelosi,D,NancyPelosi,CA,member
122,yes,house,Nancy Pelosi,D,TeamPelosi,CA,member
123,no,house,Nanette Barragán,D,RepBarragan,CA,member
124,yes,house,Nanette Barragán,D,Nanette4CA,CA,member
125,no,house,Norma Torres,D,NormaJTorres,CA,member
126,yes,house,Norma Torres,D,Norma4Congress,CA,member
127,no,house,Paul Cook,R,RepPaulCook,CA,member
128,no,house,Pete Aguilar,D,RepPeteAguilar,CA,member
129,yes,house,Pete Aguilar,D,aguilarpete,CA,member
130,no,house,Raul Ruiz,D,CongressmanRuiz,CA,member
131,yes,house,Raul Ruiz,D,Dr_RaulRuiz,CA,member
132,no,house,Ro Khanna,D,RepRoKhanna,CA,member
133,yes,house,Ro Khanna,D,RoKhanna,CA,member
134,no,house,Salud Carbajal,D,RepCarbajal,CA,member
135,yes,house,Salud Carbajal,D,carbajalsalud,CA,member
136,no,house,Scott Peters,D,RepScottPeters,CA,member
137,yes,house,Scott Peters,D,ScottPetersSD,CA,member
138,no,house,Steve Knight,R,SteveKnight25,CA,member
139,yes,house,Steve Knight,R,Knight4Congress,CA,member
140,no,house,Susan Davis,D,RepSusanDavis,CA,member
141,no,house,Ted Lieu,D,RepTedLieu,CA,member
142,yes,house,Ted Lieu,D,tedlieu,CA,member
143,no,house,Tom McClintock,R,RepMcClintock,CA,member
144,yes,house,Tom McClintock,R,tommcclintock,CA,member
145,no,house,Tony Cardenas,D,RepCardenas,CA,member
146,yes,house,Tony Cardenas,D,CardenasforCA,CA,member
147,no,house,Zoe Lofgren,D,RepZoeLofgren,CA,member
148,no,house,Diana DeGette,D,RepDianaDeGette,CO,member
149,yes,house,Diana DeGette,D,DeGette5280,CO,member
150,no,house,Doug Lamborn,R,RepDLamborn,CO,member
151,no,house,Ed Perlmutter,D,RepPerlmutter,CO,member
152,yes,house,Ed Perlmutter,D,Ed4Colorado,CO,member
153,no,house,Jared Polis,D,RepJaredPolis,CO,member
154,no,house,Jared Polis,D,jaredpolis,CO,member
155,no,house,Ken Buck,R,RepKenBuck,CO,member
156,yes,house,Ken Buck,R,BuckForColorado,CO,member
157,no,house,Mike Coffman,R,RepMikeCoffman,CO,member
158,yes,house,Mike Coffman,R,coffmanforco,CO,member
159,no,house,Scott Tipton,R,RepTipton,CO,member
160,yes,house,Scott Tipton,R,ScottRTipton,CO,member
161,no,house,Elzabeth Esty,D,RepEsty,CT,member
162,yes,house,Elzabeth Esty,D,Elizabeth_Esty,CT,member
163,yes,house,Jim Himes,D,jahimes,CT,member
164,no,house,Joe Courtney,D,RepJoeCourtney,CT,member
165,yes,house,Joe Courtney,D,JoeCourtneyCT,CT,member
166,no,house,John B. Larson,D,RepJohnLarson,CT,member
167,yes,house,John B. Larson,D,JohnLarsonCT,CT,member
168,no,house,Rosa DeLauro,D,rosadelauro,CT,member
169,yes,house,Rosa DeLauro,D,Rosa_DeLauro,CT,member
170,no,house,Eleanor Holmes Norton,D,EleanorNorton,DC,member
171,no,house,Lisa Blunt Rochester,D,RepBRochester,DE,member
172,no,house,Al Lawson,D,RepAlLawsonJr,FL,member
173,no,house,Alcee Hastings,D,RepHastingsFL,FL,member
174,yes,house,Alcee Hastings,D,alcee4congress,FL,member
175,no,house,Bill Posey,R,congbillposey,FL,member
176,no,house,Brian Mast,R,RepBrianMast,FL,member
177,yes,house,Brian Mast,R,BrianMastFL,FL,member
178,no,house,Carlos Curbelo,R,RepCurbelo,FL,member
179,yes,house,Carlos Curbelo,R,carloslcurbelo,FL,member
180,no,house,Charlie Crist,D,RepCharlieCrist,FL,member
181,yes,house,Charlie Crist,D,CharlieCrist,FL,member
182,no,house,Daniel Webster,R,RepWebster,FL,member
183,yes,house,Daniel Webster,R,WebsterCongress,FL,member
184,no,house,Darren Soto,D,RepDarrenSoto,FL,member
185,yes,house,Darren Soto,D,DarrenSoto,FL,member
186,no,house,Debbie Wasserman Schultz,D,RepDWStweets,FL,member
187,yes,house,Debbie Wasserman Schultz,D,DWStweets,FL,member
188,no,house,Dennis A. Ross,R,RepDennisRoss,FL,member
189,yes,house,Dennis A. Ross,R,DonNorcross4NJ,FL,member
190,no,house,Francis Rooney,R,RepRooney,FL,member
191,yes,house,Francis Rooney,R,FrancisRooney,FL,member
192,no,house,Frederica Wilson,D,RepWilson,FL,member
193,yes,house,Frederica Wilson,D,CongJoeWilson,FL,member
194,no,house,Gus Bilirakis,R,RepGusBilirakis,FL,member
195,no,house,Ileana Ros-Lehtinen,R,RosLehtinen,FL,member
196,yes,house,Ileana Ros-Lehtinen,R,RosLehtinenCamp,FL,member
197,no,house,John Rutherford,R,RepRutherfordFL,FL,member
198,yes,house,John Rutherford,R,JRutherfordFL,FL,member
199,no,house,Kathy Castor,D,USRepKCastor,FL,member
200,yes,house,Kathy Castor,D,KathyCastorFL,FL,member
201,no,house,Lois Frankel,D,RepLoisFrankel,FL,member
202,yes,house,Lois Frankel,D,LoisFrankel,FL,member
203,no,house,Mario Diaz-Balart,R,MarioDB,FL,member
204,yes,house,Mario Diaz-Balart,R,MarioDBCamp,FL,member
205,no,house,Matt Gaetz,R,RepMattGaetz,FL,member
206,yes,house,Matt Gaetz,R,mattgaetz,FL,member
207,no,house,Neal Dunn,R,DrNealDunnFL2,FL,member
208,yes,house,Neal Dunn,R,DrNealDunn,FL,member
209,yes,house,Neal Dunn,R,DunnCampaign,FL,member
210,no,house,Ron DeSantis,R,RepDeSantis,FL,member
211,yes,house,Ron DeSantis,R,RonDeSantisFL,FL,member
212,no,house,Stephanie Murphy,D,RepStephMurphy,FL,member
213,yes,house,Stephanie Murphy,D,SMurphyCongress,FL,member
214,no,house,Ted Deutch,D,RepTedDeutch,FL,member
215,yes,house,Ted Deutch,D,TedforCongress,FL,member
216,no,house,Ted Yoho,R,RepTedYoho,FL,member
217,yes,house,Ted Yoho,R,TedYoho,FL,member
218,no,house,Tom Rooney,R,TomRooney,FL,member
219,yes,house,Tom Rooney,R,Rooney4Congress,FL,member
220,no,house,Val Demings,D,RepValDemings,FL,member
221,no,house,Vern Buchanan,R,VernBuchanan,FL,member
222,yes,house,Vern Buchanan,R,Vern2014,FL,member
223,no,house,Austin Scott,R,AustinScottGA08,GA,member
224,yes,house,Austin Scott,R,ScottForGA,GA,member
225,no,house,Barry Loudermilk,R,RepLoudermilk,GA,member
226,yes,house,Barry Loudermilk,R,standwithbarry,GA,member
227,no,house,Buddy Carter,R,RepBuddyCarter,GA,member
228,yes,house,Buddy Carter,R,Buddy_Carter,GA,member
229,no,house,David Scott,D,repdavidscott,GA,member
230,no,house,Doug Collins,R,RepDougCollins,GA,member
231,yes,house,Doug Collins,R,Douglas_Collins,GA,member
232,no,house,Drew Ferguson,R,RepDrewFerguson,GA,member
233,yes,house,Drew Ferguson,R,DrewFergusonGA,GA,member
234,no,house,Hank Johnson,D,RepHankJohnson,GA,member
235,yes,house,Hank Johnson,D,ReElectHank,GA,member
236,no,house,Jody Hice,R,CongressmanHice,GA,member
237,yes,house,Jody Hice,R,jodyhice,GA,member
238,no,house,John Lewis,D,repjohnlewis,GA,member
239,no,house,Rick W. Allen,R,RepRickAllen,GA,member
240,yes,house,Rick W. Allen,R,rickallen,GA,member
241,no,house,Rob Woodall,R,RepRobWoodall,GA,member
242,yes,house,Rob Woodall,R,WoodallGA,GA,member
243,no,house,Sanford Bishop,D,SanfordBishop,GA,member
244,no,house,Tom Graves,R,RepTomGraves,GA,member
245,yes,house,Tom Graves,R,TomGravesGA14,GA,member
246,no,house,Colleen Hanabusa,D,RepHanabusa,HI,member
247,no,house,Tulsi Gabbard,D,TulsiPress,HI,member
248,yes,house,Tulsi Gabbard,D,TulsiGabbard,HI,member
249,no,house,Dave Loebsack,D,daveloebsack,IA,member
250,yes,house,Dave Loebsack,D,DaveForIowa,IA,member
251,no,house,David Young,R,RepDavidYoung,IA,member
252,yes,house,David Young,R,DavidYoungIA,IA,member
253,yes,house,David Young,R,YoungForIowa,IA,member
