,accounts,chamber,id,name,party,state,type
27,"{'office': [{'id': 2978291435, 'id_str': '2978291435', 'screen_name': 'HouseSmallBiz', 'party': 'R'}]}",house,"{'thomas_id': 'HSSM', 'house_committee_id': 'SM', 'tag': 'smallbusiness'}",House Committee on Small Business,,,committee
28,"{'office': [{'id': 21684013, 'id_str': '21684013', 'screen_name': 'TransportDems', 'party': 'D'}, {'id': 35829796, 'id_str': '35829796', 'screen_name': 'Transport', 'party': 'R'}]}",house,"{'thomas_id': 'HSPW', 'house_committee_id': 'PW', 'tag': 'transportation'}",House Committee on Transportation and Infrastructure,,,committee
29,"{'office': [{'id': 151519500, 'id_str': '151519500', 'screen_name': 'VetAffairsDems', 'party': 'D'}, {'id': 282093902, 'id_str': '282093902', 'screen_name': 'HouseVetAffairs', 'party': 'R'}]}",house,"{'thomas_id': 'HSVR', 'house_committee_id': 'VR', 'tag': 'veterans'}",House Committee on Veterans' Affairs,,,committee
30,"{'office': [{'id': 31128529, 'id_str': '31128529', 'screen_name': 'WaysMeansCmte', 'party': 'D'}, {'id': 12788332, 'id_str': '12788332', 'screen_name': 'WaysandMeansGOP', 'party': 'R'}]}",house,"{'thomas_id': 'HSWM', 'house_committee_id': 'WM', 'tag': 'waysandmeans'}",House Committee on Ways and Means,,,committee
31,"{'office': [{'id': 151963505, 'id_str': '151963505', 'screen_name': 'HouseBudgetDems', 'party': 'D'}, {'id': 778700700696010800, 'id_str': '778700700696010754', 'screen_name': 'housebudgetGOP', 'party': 'R'}]}",house,"{'thomas_id': 'HSBU', 'house_committee_id': 'BU', 'tag': 'budget'}",House Committee on the Budget,,,committee
32,"{'office': [{'id': 246357149, 'id_str': '246357149', 'screen_name': 'HouseJudDems', 'party': 'D'}, {'id': 1131917492, 'id_str': '1131917492', 'screen_name': 'HouseJudiciary', 'party': 'R'}]}",house,"{'thomas_id': 'HSJU', 'house_committee_id': 'JU', 'tag': 'judiciary'}",House Committee on the Judiciary,,,committee
33,"{'office': [{'id': 37007274, 'id_str': '37007274', 'screen_name': 'repdonyoung'}], 'campaign': [{'id': 2559398984, 'id_str': '2559398984', 'screen_name': 'DonYoungAK'}]}",house,"{'bioguide': 'Y000033', 'govtrack': 400440}",Don Young,R,AK,member
34,"{'office': [{'id': 2253968388, 'id_str': '2253968388', 'screen_name': 'RepByrne'}], 'campaign': [{'id': 42481696, 'id_str': '42481696', 'screen_name': 'BradleyByrne'}]}",house,"{'bioguide': 'B001289', 'govtrack': 412601}",Bradley Byrne,R,AL,member
35,"{'office': [{'id': 2861616083, 'id_str': '2861616083', 'screen_name': 'USRepGaryPalmer'}], 'campaign': [{'id': 2296943622, 'id_str': '2296943622', 'screen_name': 'Palmer4Alabama'}]}",house,"{'bioguide': 'P000609', 'govtrack': 412608}",Gary Palmer,R,AL,member
36,"{'office': [{'id': 224294785, 'id_str': '224294785', 'screen_name': 'RepMarthaRoby'}], 'campaign': [{'id': 69086398, 'id_str': '69086398', 'screen_name': 'TeamRoby'}]}",house,"{'bioguide': 'R000591', 'govtrack': 412394}",Martha Roby,R,AL,member
37,"{'office': [{'id': 33977070, 'id_str': '33977070', 'screen_name': 'RepMikeRogersAL'}], 'campaign': [{'id': 76069325, 'id_str': '76069325', 'screen_name': 'MikeRogersCamp'}]}",house,"{'bioguide': 'R000575', 'govtrack': 400341}",Mike Rogers,R,AL,member
38,"{'office': [{'id': 237299871, 'id_str': '237299871', 'screen_name': 'RepMoBrooks'}]}",house,"{'bioguide': 'B001274', 'govtrack': 412395}",Mo Brooks,R,AL,member
39,"{'office': [{'id': 76452765, 'id_str': '76452765', 'screen_name': 'Robert_Aderholt'}], 'campaign': [{'id': 804359648, 'id_str': '804359648', 'screen_name': 'CongAderholt'}]}",house,"{'bioguide': 'A000055', 'govtrack': 400004}",Robert Aderholt,R,AL,member
40,"{'office': [{'id': 381152398, 'id_str': '381152398', 'screen_name': 'RepTerriSewell'}]}",house,"{'bioguide': 'S001185', 'govtrack': 412396}",Terri Sewell,D,AL,member
41,"{'office': [{'id': 2852998461, 'id_str': '2852998461', 'screen_name': 'RepWesterman'}], 'campaign': [{'id': 1592481150, 'id_str': '1592481150', 'screen_name': 'WestermanAR'}]}",house,"{'bioguide': 'W000821', 'govtrack': 412610}",Bruce Westerman,R,AR,member
42,"{'office': [{'id': 2953974395, 'id_str': '2953974395', 'screen_name': 'RepFrenchHill'}], 'campaign': [{'id': 1740229652, 'id_str': '1740229652', 'screen_name': 'ElectFrench'}]}",house,"{'bioguide': 'H001072', 'govtrack': 412609}",French Hill,R,AR,member
43,"{'office': [{'id': 233693291, 'id_str': '233693291', 'screen_name': 'RepRickCrawford'}], 'campaign': [{'id': 50918998, 'id_str': '50918998', 'screen_name': 'Crawford4Cong'}]}",house,"{'bioguide': 'C001087', 'govtrack': 412400}",Rick Crawford,R,AR,member
44,"{'office': [{'id': 234469322, 'id_str': '234469322', 'screen_name': 'rep_stevewomack'}], 'campaign': [{'id': 112651673, 'id_str': '112651673', 'screen_name': 'womack4congress'}]}",house,"{'bioguide': 'W000809', 'govtrack': 412402}",Steve Womack,R,AR,member
45,"{'office': [{'id': 3026622545, 'id_str': '3026622545', 'screen_name': 'RepAmata'}]}",house,"{'bioguide': 'R000600', 'govtrack': 412664}",Amata Coleman Radewagen,R,AS,member
46,"{'office': [{'id': 816652616625168400, 'id_str': '816652616625168388', 'screen_name': 'RepAndyBiggsAZ'}], 'campaign': [{'id': 702601370344403000, 'id_str': '702601370344402944', 'screen_name': 'andybiggs4az'}]}",house,"{'bioguide': 'B001302', 'govtrack': 412683}",Andy Biggs,R,AZ,member
47,"{'office': [{'id': 229197216, 'id_str': '229197216', 'screen_name': 'RepDavid'}], 'campaign': [{'id': 21509894, 'id_str': '21509894', 'screen_name': 'DavidSchweikert'}]}",house,"{'bioguide': 'S001183', 'govtrack': 412399}",David Schweikert,R,AZ,member
48,"{'office': [{'id': 1080844782, 'id_str': '1080844782', 'screen_name': 'RepSinema'}]}",house,"{'bioguide': 'S001191', 'govtrack': 412509}",Kyrsten Sinema,D,AZ,member
49,"{'office': [{'id': 2964949642, 'id_str': '2964949642', 'screen_name': 'RepMcSally'}], 'campaign': [{'id': 482450423, 'id_str': '482450423', 'screen_name': 'MarthaMcSally'}]}",house,"{'bioguide': 'M001197', 'govtrack': 412611}",Martha McSally,R,AZ,member
50,"{'office': [{'id': 240760644, 'id_str': '240760644', 'screen_name': 'RepGosar'}]}",house,"{'bioguide': 'G000565', 'govtrack': 412397}",Paul Gosar,R,AZ,member
51,"{'office': [{'id': 28602948, 'id_str': '28602948', 'screen_name': 'RepRaulGrijalva'}], 'campaign': [{'id': 135623073, 'id_str': '135623073', 'screen_name': 'standwithraul'}]}",house,"{'bioguide': 'G000551', 'govtrack': 400162}",Raúl Grijalva,D,AZ,member
52,"{'office': [{'id': 2966570782, 'id_str': '2966570782', 'screen_name': 'RepRubenGallego'}], 'campaign': [{'id': 69066533, 'id_str': '69066533', 'screen_name': 'petegallego'}]}",house,"{'bioguide': 'G000574', 'govtrack': 412612}",Ruben Gallego,D,AZ,member
53,"{'office': [{'id': 808416682972770300, 'id_str': '808416682972770304', 'screen_name': 'RepOHalleran'}]}",house,"{'bioguide': 'O000171', 'govtrack': 412682}",Tom O'Halleran,D,AZ,member
54,"{'office': [{'id': 24773493, 'id_str': '24773493', 'screen_name': 'RepTrentFranks'}]}",house,"{'bioguide': 'F000448', 'govtrack': 400141}",Trent Franks,R,AZ,member
55,"{'office': [{'id': 29501253, 'id_str': '29501253', 'screen_name': 'RepAdamSchiff'}], 'campaign': [{'id': 133028836, 'id_str': '133028836', 'screen_name': 'AdamSchiffCA'}]}",house,"{'bioguide': 'S001150', 'govtrack': 400361}",Adam Schiff,D,CA,member
56,"{'office': [{'id': 1055730738, 'id_str': '1055730738', 'screen_name': 'RepLowenthal'}]}",house,"{'bioguide': 'L000579', 'govtrack': 412521}",Alan Lowenthal,D,CA,member
57,"{'office': [{'id': 950783972, 'id_str': '950783972', 'screen_name': 'RepBera'}], 'campaign': [{'id': 43986986, 'id_str': '43986986', 'screen_name': 'BeraForCongress'}]}",house,"{'bioguide': 'B001287', 'govtrack': 412512}",Ami Bera,D,CA,member
58,"{'office': [{'id': 249348006, 'id_str': '249348006', 'screen_name': 'RepAnnaEshoo'}], 'campaign': [{'id': 482713734, 'id_str': '482713734', 'screen_name': 'Eshoo4Congress'}]}",house,"{'bioguide': 'E000215', 'govtrack': 400124}",Anna Eshoo,D,CA,member
59,"{'office': [{'id': 248735463, 'id_str': '248735463', 'screen_name': 'RepBarbaraLee'}], 'campaign': [{'id': 144927376, 'id_str': '144927376', 'screen_name': 'BarbaraLeeSays'}]}",house,"{'bioguide': 'L000551', 'govtrack': 400237}",Barbara Lee,D,CA,member
60,"{'office': [{'id': 30216513, 'id_str': '30216513', 'screen_name': 'BradSherman'}]}",house,"{'bioguide': 'S000344', 'govtrack': 400371}",Brad Sherman,D,CA,member
