,accounts,chamber,id,name,party,state,type
108,"{'office': [{'id': 28599820, 'id_str': '28599820', 'screen_name': 'RepDianaDeGette'}], 'campaign': [{'id': 952540201, 'id_str': '952540201', 'screen_name': 'DeGette5280'}]}",house,"{'bioguide': 'D000197', 'govtrack': 400101}",Diana DeGette,D,CO,member
109,"{'office': [{'id': 584012853, 'id_str': '584012853', 'screen_name': 'RepDLamborn'}]}",house,"{'bioguide': 'L000564', 'govtrack': 412191}",Doug Lamborn,R,CO,member
110,"{'office': [{'id': 20552026, 'id_str': '20552026', 'screen_name': 'RepPerlmutter'}], 'campaign': [{'id': 105290638, 'id_str': '105290638', 'screen_name': 'Ed4Colorado'}]}",house,"{'bioguide': 'P000593', 'govtrack': 412192}",Ed Perlmutter,D,CO,member
111,"{'office': [{'id': 463132556, 'id_str': '463132556', 'screen_name': 'RepJaredPolis'}, {'id': 15361570, 'id_str': '15361570', 'screen_name': 'jaredpolis'}]}",house,"{'bioguide': 'P000598', 'govtrack': 412308}",Jared Polis,D,CO,member
112,"{'office': [{'id': 2862577383, 'id_str': '2862577383', 'screen_name': 'RepKenBuck'}], 'campaign': [{'id': 34959770, 'id_str': '34959770', 'screen_name': 'BuckForColorado'}]}",house,"{'bioguide': 'B001297', 'govtrack': 412619}",Ken Buck,R,CO,member
113,"{'office': [{'id': 19407835, 'id_str': '19407835', 'screen_name': 'RepMikeCoffman'}], 'campaign': [{'id': 112781983, 'id_str': '112781983', 'screen_name': 'coffmanforco'}]}",house,"{'bioguide': 'C001077', 'govtrack': 412271}",Mike Coffman,R,CO,member
114,"{'office': [{'id': 242873057, 'id_str': '242873057', 'screen_name': 'RepTipton'}], 'campaign': [{'id': 18060563, 'id_str': '18060563', 'screen_name': 'ScottRTipton'}]}",house,"{'bioguide': 'T000470', 'govtrack': 412405}",Scott Tipton,R,CO,member
115,"{'office': [{'id': 1060984272, 'id_str': '1060984272', 'screen_name': 'RepEsty'}], 'campaign': [{'id': 325162736, 'id_str': '325162736', 'screen_name': 'Elizabeth_Esty'}]}",house,"{'bioguide': 'E000293', 'govtrack': 412524}",Elzabeth Esty,D,CT,member
116,"{'campaign': [{'id': 31611298, 'id_str': '31611298', 'screen_name': 'jahimes'}]}",house,"{'bioguide': 'H001047', 'govtrack': 412282}",Jim Himes,D,CT,member
117,"{'office': [{'id': 85396297, 'id_str': '85396297', 'screen_name': 'RepJoeCourtney'}], 'campaign': [{'id': 183351637, 'id_str': '183351637', 'screen_name': 'JoeCourtneyCT'}]}",house,"{'bioguide': 'C001069', 'govtrack': 412193}",Joe Courtney,D,CT,member
118,"{'office': [{'id': 50452197, 'id_str': '50452197', 'screen_name': 'RepJohnLarson'}], 'campaign': [{'id': 155585373, 'id_str': '155585373', 'screen_name': 'JohnLarsonCT'}]}",house,"{'bioguide': 'L000557', 'govtrack': 400233}",John B. Larson,D,CT,member
119,"{'office': [{'id': 140519774, 'id_str': '140519774', 'screen_name': 'rosadelauro'}], 'campaign': [{'id': 893496121, 'id_str': '893496121', 'screen_name': 'Rosa_DeLauro'}]}",house,"{'bioguide': 'D000216', 'govtrack': 400103}",Rosa DeLauro,D,CT,member
120,"{'office': [{'id': 23600262, 'id_str': '23600262', 'screen_name': 'EleanorNorton'}]}",house,"{'bioguide': 'N000147', 'govtrack': 400295}",Eleanor Holmes Norton,D,DC,member
121,"{'office': [{'id': 817050219007328300, 'id_str': '817050219007328258', 'screen_name': 'RepBRochester'}]}",house,"{'bioguide': 'B001303', 'govtrack': 412689}",Lisa Blunt Rochester,D,DE,member
122,"{'office': [{'id': 818472418620608500, 'id_str': '818472418620608512', 'screen_name': 'RepAlLawsonJr'}]}",house,"{'bioguide': 'L000586', 'govtrack': 412693}",Al Lawson,D,FL,member
123,"{'office': [{'id': 2433737761, 'id_str': '2433737761', 'screen_name': 'RepHastingsFL'}], 'campaign': [{'id': 2348492935, 'id_str': '2348492935', 'screen_name': 'alcee4congress'}]}",house,"{'bioguide': 'H000324', 'govtrack': 400170}",Alcee Hastings,D,FL,member
124,"{'office': [{'id': 25086658, 'id_str': '25086658', 'screen_name': 'congbillposey'}]}",house,"{'bioguide': 'P000599', 'govtrack': 412309}",Bill Posey,R,FL,member
125,"{'office': [{'id': 814103950404239400, 'id_str': '814103950404239360', 'screen_name': 'RepBrianMast'}], 'campaign': [{'id': 3170031728, 'id_str': '3170031728', 'screen_name': 'BrianMastFL'}]}",house,"{'bioguide': 'M001199', 'govtrack': 412698}",Brian Mast,R,FL,member
126,"{'office': [{'id': 2853309155, 'id_str': '2853309155', 'screen_name': 'RepCurbelo'}], 'campaign': [{'id': 1177437224, 'id_str': '1177437224', 'screen_name': 'carloslcurbelo'}]}",house,"{'bioguide': 'C001107', 'govtrack': 412621}",Carlos Curbelo,R,FL,member
127,"{'office': [{'id': 816030424778543100, 'id_str': '816030424778543104', 'screen_name': 'RepCharlieCrist'}], 'campaign': [{'id': 38970940, 'id_str': '38970940', 'screen_name': 'CharlieCrist'}]}",house,"{'bioguide': 'C001111', 'govtrack': 412697}",Charlie Crist,D,FL,member
128,"{'office': [{'id': 281540744, 'id_str': '281540744', 'screen_name': 'RepWebster'}], 'campaign': [{'id': 136526394, 'id_str': '136526394', 'screen_name': 'WebsterCongress'}]}",house,"{'bioguide': 'W000806', 'govtrack': 412410}",Daniel Webster,R,FL,member
129,"{'office': [{'id': 818713465653051400, 'id_str': '818713465653051392', 'screen_name': 'RepDarrenSoto'}], 'campaign': [{'id': 1730030220, 'id_str': '1730030220', 'screen_name': 'DarrenSoto'}]}",house,"{'bioguide': 'S001200', 'govtrack': 412695}",Darren Soto,D,FL,member
130,"{'office': [{'id': 1140648348, 'id_str': '1140648348', 'screen_name': 'RepDWStweets'}], 'campaign': [{'id': 115979444, 'id_str': '115979444', 'screen_name': 'DWStweets'}]}",house,"{'bioguide': 'W000797', 'govtrack': 400623}",Debbie Wasserman Schultz,D,FL,member
131,"{'office': [{'id': 33655490, 'id_str': '33655490', 'screen_name': 'RepDennisRoss'}], 'campaign': [{'id': 2340948996, 'id_str': '2340948996', 'screen_name': 'DonNorcross4NJ'}]}",house,"{'bioguide': 'R000593', 'govtrack': 412411}",Dennis A. Ross,R,FL,member
132,"{'office': [{'id': 816111677917851600, 'id_str': '816111677917851649', 'screen_name': 'RepRooney'}], 'campaign': [{'id': 4433285713, 'id_str': '4433285713', 'screen_name': 'FrancisRooney'}]}",house,"{'bioguide': 'R000607', 'govtrack': 412699}",Francis Rooney,R,FL,member
133,"{'office': [{'id': 234014087, 'id_str': '234014087', 'screen_name': 'RepWilson'}], 'campaign': [{'id': 15116570, 'id_str': '15116570', 'screen_name': 'CongJoeWilson'}]}",house,"{'bioguide': 'W000808', 'govtrack': 412412}",Frederica Wilson,D,FL,member
134,"{'office': [{'id': 26051676, 'id_str': '26051676', 'screen_name': 'RepGusBilirakis'}]}",house,"{'bioguide': 'B001257', 'govtrack': 412250}",Gus Bilirakis,R,FL,member
135,"{'office': [{'id': 14275291, 'id_str': '14275291', 'screen_name': 'RosLehtinen'}], 'campaign': [{'id': 5511752, 'id_str': '5511752', 'screen_name': 'RosLehtinenCamp'}]}",house,"{'bioguide': 'R000435', 'govtrack': 400344}",Ileana Ros-Lehtinen,R,FL,member
136,"{'office': [{'id': 828977216595849200, 'id_str': '828977216595849216', 'screen_name': 'RepRutherfordFL'}], 'campaign': [{'id': 733672650120253400, 'id_str': '733672650120253440', 'screen_name': 'JRutherfordFL'}]}",house,"{'bioguide': 'R000609', 'govtrack': 412692}",John Rutherford,R,FL,member
137,"{'office': [{'id': 1880674038, 'id_str': '1880674038', 'screen_name': 'USRepKCastor'}], 'campaign': [{'id': 756123897783808000, 'id_str': '756123897783808000', 'screen_name': 'KathyCastorFL'}]}",house,"{'bioguide': 'C001066', 'govtrack': 412195}",Kathy Castor,D,FL,member
138,"{'office': [{'id': 1077121945, 'id_str': '1077121945', 'screen_name': 'RepLoisFrankel'}], 'campaign': [{'id': 349296252, 'id_str': '349296252', 'screen_name': 'LoisFrankel'}]}",house,"{'bioguide': 'F000462', 'govtrack': 412529}",Lois Frankel,D,FL,member
139,"{'office': [{'id': 37094727, 'id_str': '37094727', 'screen_name': 'MarioDB'}], 'campaign': [{'id': 374816353, 'id_str': '374816353', 'screen_name': 'MarioDBCamp'}]}",house,"{'bioguide': 'D000600', 'govtrack': 400108}",Mario Diaz-Balart,R,FL,member
140,"{'office': [{'id': 818948638890217500, 'id_str': '818948638890217473', 'screen_name': 'RepMattGaetz'}], 'campaign': [{'id': 58579942, 'id_str': '58579942', 'screen_name': 'mattgaetz'}]}",house,"{'bioguide': 'G000578', 'govtrack': 412690}",Matt Gaetz,R,FL,member
141,"{'office': [{'id': 815952318487298000, 'id_str': '815952318487298048', 'screen_name': 'DrNealDunnFL2'}], 'campaign': [{'id': 2288520312, 'id_str': '2288520312', 'screen_name': 'DrNealDunn'}, {'id': 3433189197, 'id_str': '3433189197', 'screen_name': 'DunnCampaign'}]}",house,"{'bioguide': 'D000628', 'govtrack': 412691}",Neal Dunn,R,FL,member
142,"{'office': [{'id': 1058807868, 'id_str': '1058807868', 'screen_name': 'RepDeSantis'}], 'campaign': [{'id': 487297085, 'id_str': '487297085', 'screen_name': 'RonDeSantisFL'}]}",house,"{'bioguide': 'D000621', 'govtrack': 412526}",Ron DeSantis,R,FL,member
143,"{'office': [{'id': 796183515998068700, 'id_str': '796183515998068736', 'screen_name': 'RepStephMurphy'}], 'campaign': [{'id': 745372686596120600, 'id_str': '745372686596120576', 'screen_name': 'SMurphyCongress'}]}",house,"{'bioguide': 'M001202', 'govtrack': 412694}",Stephanie Murphy,D,FL,member
144,"{'office': [{'id': 137794015, 'id_str': '137794015', 'screen_name': 'RepTedDeutch'}], 'campaign': [{'id': 82696064, 'id_str': '82696064', 'screen_name': 'TedforCongress'}]}",house,"{'bioguide': 'D000610', 'govtrack': 412385}",Ted Deutch,D,FL,member
145,"{'office': [{'id': 1071900114, 'id_str': '1071900114', 'screen_name': 'RepTedYoho'}], 'campaign': [{'id': 274164368, 'id_str': '274164368', 'screen_name': 'TedYoho'}]}",house,"{'bioguide': 'Y000065', 'govtrack': 412525}",Ted Yoho,R,FL,member
146,"{'office': [{'id': 23970171, 'id_str': '23970171', 'screen_name': 'TomRooney'}], 'campaign': [{'id': 68986943, 'id_str': '68986943', 'screen_name': 'Rooney4Congress'}]}",house,"{'bioguide': 'R000583', 'govtrack': 412311}",Tom Rooney,R,FL,member
147,"{'office': [{'id': 798973032362606600, 'id_str': '798973032362606600', 'screen_name': 'RepValDemings'}]}",house,"{'bioguide': 'D000627', 'govtrack': 412696}",Val Demings,D,FL,member
148,"{'office': [{'id': 20467163, 'id_str': '20467163', 'screen_name': 'VernBuchanan'}], 'campaign': [{'id': 41403889, 'id_str': '41403889', 'screen_name': 'Vern2014'}]}",house,"{'bioguide': 'B001260', 'govtrack': 412196}",Vern Buchanan,R,FL,member
149,"{'office': [{'id': 234797704, 'id_str': '234797704', 'screen_name': 'AustinScottGA08'}], 'campaign': [{'id': 31191969, 'id_str': '31191969', 'screen_name': 'ScottForGA'}]}",house,"{'bioguide': 'S001189', 'govtrack': 412417}",Austin Scott,R,GA,member
150,"{'office': [{'id': 2914163523, 'id_str': '2914163523', 'screen_name': 'RepLoudermilk'}], 'campaign': [{'id': 586191770, 'id_str': '586191770', 'screen_name': 'standwithbarry'}]}",house,"{'bioguide': 'L000583', 'govtrack': 412624}",Barry Loudermilk,R,GA,member
151,"{'office': [{'id': 2973870195, 'id_str': '2973870195', 'screen_name': 'RepBuddyCarter'}], 'campaign': [{'id': 295712099, 'id_str': '295712099', 'screen_name': 'Buddy_Carter'}]}",house,"{'bioguide': 'C001103', 'govtrack': 412622}",Buddy Carter,R,GA,member
152,"{'office': [{'id': 168673083, 'id_str': '168673083', 'screen_name': 'repdavidscott'}]}",house,"{'bioguide': 'S001157', 'govtrack': 400363}",David Scott,D,GA,member
153,"{'office': [{'id': 1060487274, 'id_str': '1060487274', 'screen_name': 'RepDougCollins'}], 'campaign': [{'id': 343358379, 'id_str': '343358379', 'screen_name': 'Douglas_Collins'}]}",house,"{'bioguide': 'C001093', 'govtrack': 412531}",Doug Collins,R,GA,member
154,"{'office': [{'id': 806583915012046800, 'id_str': '806583915012046854', 'screen_name': 'RepDrewFerguson'}], 'campaign': [{'id': 694984534249594900, 'id_str': '694984534249594882', 'screen_name': 'DrewFergusonGA'}]}",house,"{'bioguide': 'F000465', 'govtrack': 412700}",Drew Ferguson,R,GA,member
155,"{'office': [{'id': 24745957, 'id_str': '24745957', 'screen_name': 'RepHankJohnson'}], 'campaign': [{'id': 97583689, 'id_str': '97583689', 'screen_name': 'ReElectHank'}]}",house,"{'bioguide': 'J000288', 'govtrack': 412199}",Hank Johnson,D,GA,member
156,"{'office': [{'id': 2975091705, 'id_str': '2975091705', 'screen_name': 'CongressmanHice'}], 'campaign': [{'id': 130003817, 'id_str': '130003817', 'screen_name': 'jodyhice'}]}",house,"{'bioguide': 'H001071', 'govtrack': 412623}",Jody Hice,R,GA,member
157,"{'office': [{'id': 29450962, 'id_str': '29450962', 'screen_name': 'repjohnlewis'}]}",house,"{'bioguide': 'L000287', 'govtrack': 400240}",John Lewis,D,GA,member
158,"{'campaign': [{'id': 15673703, 'id_str': '15673703', 'screen_name': 'karenhandel'}, {'id': 1439768856, 'id_str': '1439768856', 'screen_name': 'TeamHandel'}], 'office': []}",house,"{'bioguide': 'H001078', 'govtrack': 0}",Karen Handel,R,GA,member
159,"{'office': [{'id': 2964287128, 'id_str': '2964287128', 'screen_name': 'RepRickAllen'}], 'campaign': [{'id': 385111151, 'id_str': '385111151', 'screen_name': 'rickallen'}]}",house,"{'bioguide': 'A000372', 'govtrack': 412625}",Rick W. Allen,R,GA,member
160,"{'office': [{'id': 2382685057, 'id_str': '2382685057', 'screen_name': 'RepRobWoodall'}], 'campaign': [{'id': 4886662606, 'id_str': '4886662606', 'screen_name': 'WoodallGA'}]}",house,"{'bioguide': 'W000810', 'govtrack': 412416}",Rob Woodall,R,GA,member
161,"{'office': [{'id': 249410485, 'id_str': '249410485', 'screen_name': 'SanfordBishop'}]}",house,"{'bioguide': 'B000490', 'govtrack': 400030}",Sanford Bishop,D,GA,member
162,"{'office': [{'id': 190328374, 'id_str': '190328374', 'screen_name': 'RepTomGraves'}], 'campaign': [{'id': 24852012, 'id_str': '24852012', 'screen_name': 'TomGravesGA14'}]}",house,"{'bioguide': 'G000560', 'govtrack': 412388}",Tom Graves,R,GA,member
163,"{'office': [{'id': 235373000, 'id_str': '235373000', 'screen_name': 'RepHanabusa'}]}",house,"{'bioguide': 'H001050', 'govtrack': 412418}",Colleen Hanabusa,D,HI,member
164,"{'office': [{'id': 1064206014, 'id_str': '1064206014', 'screen_name': 'TulsiPress'}], 'campaign': [{'id': 26637348, 'id_str': '26637348', 'screen_name': 'TulsiGabbard'}]}",house,"{'bioguide': 'G000571', 'govtrack': 412532}",Tulsi Gabbard,D,HI,member
165,"{'office': [{'id': 510516465, 'id_str': '510516465', 'screen_name': 'daveloebsack'}], 'campaign': [{'id': 583486767, 'id_str': '583486767', 'screen_name': 'DaveForIowa'}]}",house,"{'bioguide': 'L000565', 'govtrack': 412209}",Dave Loebsack,D,IA,member
166,"{'office': [{'id': 314205957, 'id_str': '314205957', 'screen_name': 'RepDavidYoung'}], 'campaign': [{'id': 730397976149925900, 'id_str': '730397976149925888', 'screen_name': 'DavidYoungIA'}, {'id': 1458792192, 'id_str': '1458792192', 'screen_name': 'YoungForIowa'}]}",house,"{'bioguide': 'Y000066', 'govtrack': 412628}",David Young,R,IA,member
167,"{'office': [{'id': 2965083477, 'id_str': '2965083477', 'screen_name': 'RepRodBlum'}], 'campaign': [{'id': 58842416, 'id_str': '58842416', 'screen_name': 'RodBlum'}]}",house,"{'bioguide': 'B001294', 'govtrack': 412627}",Rod Blum,R,IA,member
168,"{'office': [{'id': 48117116, 'id_str': '48117116', 'screen_name': 'SteveKingIA'}], 'campaign': [{'id': 194729373, 'id_str': '194729373', 'screen_name': 'KingforCongress'}]}",house,"{'bioguide': 'K000362', 'govtrack': 400220}",Steve King,R,IA,member
169,"{'office': [{'id': 76132891, 'id_str': '76132891', 'screen_name': 'CongMikeSimpson'}], 'campaign': [{'id': 314223728, 'id_str': '314223728', 'screen_name': 'MikeSimpson4ID'}]}",house,"{'bioguide': 'S001148', 'govtrack': 400376}",Mike Simpson,R,ID,member
170,"{'office': [{'id': 246341769, 'id_str': '246341769', 'screen_name': 'Raul_Labrador'}], 'campaign': [{'id': 56944812, 'id_str': '56944812', 'screen_name': 'RaulLabrador4ID'}]}",house,"{'bioguide': 'L000573', 'govtrack': 412419}",Raul Labrador,R,ID,member
171,"{'office': [{'id': 219429281, 'id_str': '219429281', 'screen_name': 'RepKinzinger'}], 'campaign': [{'id': 18004222, 'id_str': '18004222', 'screen_name': 'AdamKinzinger'}]}",house,"{'bioguide': 'K000378', 'govtrack': 412421}",Adam Kinzinger,R,IL,member
172,"{'office': [{'id': 1080509366, 'id_str': '1080509366', 'screen_name': 'RepBillFoster'}], 'campaign': [{'id': 188403766, 'id_str': '188403766', 'screen_name': 'Foster4Congress'}]}",house,"{'bioguide': 'F000454', 'govtrack': 412257}",Bill Foster,D,IL,member
173,"{'office': [{'id': 305216911, 'id_str': '305216911', 'screen_name': 'RepBobbyRush'}], 'campaign': [{'id': 493429193, 'id_str': '493429193', 'screen_name': 'BobbyLRushMC'}]}",house,"{'bioguide': 'R000515', 'govtrack': 400350}",Bobby Rush,D,IL,member
174,"{'office': [{'id': 1071840474, 'id_str': '1071840474', 'screen_name': 'RepSchneider'}], 'campaign': [{'id': 278005891, 'id_str': '278005891', 'screen_name': 'Schneider4IL10'}]}",house,"{'bioguide': 'S001190', 'govtrack': 412534}",Brad Schneider,D,IL,member
175,"{'office': [{'id': 1092979962, 'id_str': '1092979962', 'screen_name': 'RepCheri'}], 'campaign': [{'id': 257180565, 'id_str': '257180565', 'screen_name': 'CheriBustos'}]}",house,"{'bioguide': 'B001286', 'govtrack': 412537}",Cheri Bustos,D,IL,member
176,"{'office': [{'id': 1009269193, 'id_str': '1009269193', 'screen_name': 'RepLipinski'}]}",house,"{'bioguide': 'L000563', 'govtrack': 400630}",Dan Lipinski,D,IL,member
177,"{'office': [{'id': 789244177, 'id_str': '789244177', 'screen_name': 'RepDannyDavis'}]}",house,"{'bioguide': 'D000096', 'govtrack': 400093}",Danny K. Davis,D,IL,member
178,"{'office': [{'id': 3686482216, 'id_str': '3686482216', 'screen_name': 'RepLaHood'}], 'campaign': [{'id': 3107996233, 'id_str': '3107996233', 'screen_name': 'ElectLaHood'}]}",house,"{'bioguide': 'L000585', 'govtrack': 412674}",Darin LaHood,R,IL,member
179,"{'office': [{'id': 24195214, 'id_str': '24195214', 'screen_name': 'janschakowsky'}]}",house,"{'bioguide': 'S001145', 'govtrack': 400360}",Jan Schakowsky,D,IL,member
180,"{'office': [{'id': 15600527, 'id_str': '15600527', 'screen_name': 'RepShimkus'}], 'campaign': [{'id': 4490291893, 'id_str': '4490291893', 'screen_name': 'JohnMShimkus'}]}",house,"{'bioguide': 'S000364', 'govtrack': 400373}",John Shimkus,R,IL,member
181,"{'office': [{'id': 36948268, 'id_str': '36948268', 'screen_name': 'RepGutierrez'}], 'campaign': [{'id': 322013313, 'id_str': '322013313', 'screen_name': 'LuisGutierrez'}]}",house,"{'bioguide': 'G000535', 'govtrack': 400163}",Luis Gutiérrez,D,IL,member
182,"{'office': [{'id': 2964877294, 'id_str': '2964877294', 'screen_name': 'RepBost'}], 'campaign': [{'id': 2282437802, 'id_str': '2282437802', 'screen_name': 'BostForCongress'}]}",house,"{'bioguide': 'B001295', 'govtrack': 412629}",Mike Bost,R,IL,member
183,"{'office': [{'id': 56864092, 'id_str': '56864092', 'screen_name': 'RepMikeQuigley'}], 'campaign': [{'id': 15949499, 'id_str': '15949499', 'screen_name': 'QuigleyCampaign'}]}",house,"{'bioguide': 'Q000023', 'govtrack': 412331}",Mike Quigley,D,IL,member
184,"{'office': [{'id': 20015903, 'id_str': '20015903', 'screen_name': 'PeterRoskam'}]}",house,"{'bioguide': 'R000580', 'govtrack': 412202}",Peter Roskam,R,IL,member
185,"{'office': [{'id': 814179031956488200, 'id_str': '814179031956488192', 'screen_name': 'CongressmanRaja'}], 'campaign': [{'id': 62649021, 'id_str': '62649021', 'screen_name': 'RajaForCongress'}]}",house,"{'bioguide': 'K000391', 'govtrack': 412701}",Raja Krishnamoorthi,D,IL,member
186,"{'office': [{'id': 237814920, 'id_str': '237814920', 'screen_name': 'RepHultgren'}], 'campaign': [{'id': 78387677, 'id_str': '78387677', 'screen_name': 'RandyHultgren'}]}",house,"{'bioguide': 'H001059', 'govtrack': 412422}",Randy Hultgren,R,IL,member
187,"{'office': [{'id': 1339931490, 'id_str': '1339931490', 'screen_name': 'RepRobinKelly'}], 'campaign': [{'id': 38285038, 'id_str': '38285038', 'screen_name': 'Robin42CD'}]}",house,"{'bioguide': 'K000385', 'govtrack': 412595}",Robin Kelly,D,IL,member
188,"{'office': [{'id': 993153006, 'id_str': '993153006', 'screen_name': 'RodneyDavis'}], 'campaign': [{'id': 586076955, 'id_str': '586076955', 'screen_name': 'ElectRodney'}]}",house,"{'bioguide': 'D000619', 'govtrack': 412536}",Rodney Davis,R,IL,member
189,"{'office': [{'id': 199325935, 'id_str': '199325935', 'screen_name': 'RepAndreCarson'}], 'campaign': [{'id': 267316393, 'id_str': '267316393', 'screen_name': 'Andre4Congress'}]}",house,"{'bioguide': 'C001072', 'govtrack': 412258}",Andre Carson,D,IN,member
190,"{'office': [{'id': 1065995022, 'id_str': '1065995022', 'screen_name': 'RepWalorski'}], 'campaign': [{'id': 137172797, 'id_str': '137172797', 'screen_name': 'StandWithJackie'}, {'id': 14562874, 'id_str': '14562874', 'screen_name': 'jackiewalorski'}]}",house,"{'bioguide': 'W000813', 'govtrack': 412538}",Jackie Walorski,R,IN,member
191,"{'office': [{'id': 816131319033950200, 'id_str': '816131319033950208', 'screen_name': 'RepJimBanks'}], 'campaign': [{'id': 14836282, 'id_str': '14836282', 'screen_name': 'Jim_Banks'}]}",house,"{'bioguide': 'B001299', 'govtrack': 412702}",Jim Banks,R,IN,member
192,"{'office': [{'id': 234812598, 'id_str': '234812598', 'screen_name': 'RepLarryBucshon'}], 'campaign': [{'id': 80956768, 'id_str': '80956768', 'screen_name': 'DrLarryBucshon'}]}",house,"{'bioguide': 'B001275', 'govtrack': 412427}",Larry Bucshon,R,IN,member
193,"{'office': [{'id': 1045853744, 'id_str': '1045853744', 'screen_name': 'RepLukeMesser'}], 'campaign': [{'id': 23013996, 'id_str': '23013996', 'screen_name': 'LukeMesserIN'}]}",house,"{'bioguide': 'M001189', 'govtrack': 412540}",Luke Messer,R,IN,member
194,"{'office': [{'id': 193872188, 'id_str': '193872188', 'screen_name': 'RepVisclosky'}], 'campaign': [{'id': 3282677347, 'id_str': '3282677347', 'screen_name': 'TeamVisclosky'}]}",house,"{'bioguide': 'V000108', 'govtrack': 400417}",Pete Visclosky,D,IN,member
195,"{'office': [{'id': 1074101017, 'id_str': '1074101017', 'screen_name': 'SusanWBrooks'}], 'campaign': [{'id': 344201516, 'id_str': '344201516', 'screen_name': 'SusanBrooksIN'}]}",house,"{'bioguide': 'B001284', 'govtrack': 412539}",Susan Brooks,R,IN,member
196,"{'office': [{'id': 17544524, 'id_str': '17544524', 'screen_name': 'ToddRokita'}], 'campaign': [{'id': 110456022, 'id_str': '110456022', 'screen_name': 'ToddRokitaIN'}]}",house,"{'bioguide': 'R000592', 'govtrack': 412426}",Todd Rokita,R,IN,member
197,"{'office': [{'id': 811986281177772000, 'id_str': '811986281177772032', 'screen_name': 'RepTrey'}], 'campaign': [{'id': 3431000296, 'id_str': '3431000296', 'screen_name': 'VoteForTrey'}]}",house,"{'bioguide': 'H001074', 'govtrack': 412703}",Trey Hollingsworth,R,IN,member
198,"{'office': [{'id': 252819642, 'id_str': '252819642', 'screen_name': 'RepKevinYoder'}], 'campaign': [{'id': 26324609, 'id_str': '26324609', 'screen_name': 'KevinYoder'}]}",house,"{'bioguide': 'Y000063', 'govtrack': 412430}",Kevin Yoder,R,KS,member
199,"{'office': [{'id': 19658173, 'id_str': '19658173', 'screen_name': 'RepLynnJenkins'}], 'campaign': [{'id': 75378219, 'id_str': '75378219', 'screen_name': 'lynnjenkins'}]}",house,"{'bioguide': 'J000290', 'govtrack': 412284}",Lynn Jenkins,R,KS,member
200,"{'office': [{'id': 752364246218862600, 'id_str': '752364246218862592', 'screen_name': 'RepMarshall'}], 'campaign': [{'id': 1240107944, 'id_str': '1240107944', 'screen_name': 'RogerMarshallMD'}]}",house,"{'bioguide': 'M001198', 'govtrack': 412704}",Roger Marshall,R,KS,member
201,"{'office': [{'id': 854715071116849200, 'id_str': '854715071116849157', 'screen_name': 'RepRonEstes'}], 'campaign': [{'id': 722555010588872700, 'id_str': '722555010588872705', 'screen_name': 'RonEstesKS'}]}",house,"{'bioguide': 'E000298', 'govtrack': 412735}",Ron Estes,R,KS,member
202,"{'office': [{'id': 1089334250, 'id_str': '1089334250', 'screen_name': 'RepAndyBarr'}], 'campaign': [{'id': 115186195, 'id_str': '115186195', 'screen_name': 'barrforcongress'}]}",house,"{'bioguide': 'B001282', 'govtrack': 412541}",Andy Barr,R,KY,member
203,"{'office': [{'id': 1908143071, 'id_str': '1908143071', 'screen_name': 'RepGuthrie'}], 'campaign': [{'id': 114607567, 'id_str': '114607567', 'screen_name': 'brettguthrie'}]}",house,"{'bioguide': 'G000558', 'govtrack': 412278}",Brett Guthrie,R,KY,member
204,"{'office': [{'id': 550401754, 'id_str': '550401754', 'screen_name': 'RepHalRogers'}]}",house,"{'bioguide': 'R000395', 'govtrack': 400340}",Hal Rogers,R,KY,member
205,"{'campaign': [{'id': 838462994, 'id_str': '838462994', 'screen_name': 'KYComer'}]}",house,"{'bioguide': 'C001108', 'govtrack': 412676}",James Comer,R,KY,member
206,"{'office': [{'id': 384913290, 'id_str': '384913290', 'screen_name': 'RepJohnYarmuth'}]}",house,"{'bioguide': 'Y000062', 'govtrack': 412211}",John Yarmuth,D,KY,member
207,"{'office': [{'id': 975200486, 'id_str': '975200486', 'screen_name': 'RepThomasMassie'}], 'campaign': [{'id': 230973154, 'id_str': '230973154', 'screen_name': 'ThomasMassieKY'}]}",house,"{'bioguide': 'M001184', 'govtrack': 412503}",Thomas Massie,R,KY,member
208,"{'office': [{'id': 267854863, 'id_str': '267854863', 'screen_name': 'RepRichmond'}], 'campaign': [{'id': 142419647, 'id_str': '142419647', 'screen_name': 'CedricRichmond'}]}",house,"{'bioguide': 'R000588', 'govtrack': 412432}",Cedric Richmond,D,LA,member
209,"{'office': [{'id': 843636970538618900, 'id_str': '843636970538618880', 'screen_name': 'RepClayHiggins'}], 'campaign': [{'id': 3298489662, 'id_str': '3298489662', 'screen_name': 'CaptClayHiggins'}]}",house,"{'bioguide': 'H001077', 'govtrack': 412705}",Clay Higgins,R,LA,member
210,"{'office': [{'id': 2951574214, 'id_str': '2951574214', 'screen_name': 'RepGarretGraves'}], 'campaign': [{'id': 587100576, 'id_str': '587100576', 'screen_name': 'garretgraves'}]}",house,"{'bioguide': 'G000577', 'govtrack': 412631}",Garret Graves,R,LA,member
211,"{'office': [{'id': 827279765287559200, 'id_str': '827279765287559171', 'screen_name': 'RepMikeJohnson'}], 'campaign': [{'id': 4849654052, 'id_str': '4849654052', 'screen_name': 'MikeJohnson'}]}",house,"{'bioguide': 'J000299', 'govtrack': 412706}",Mike Johnson,R,LA,member
